"id","input_data","full_response","response","feedback","created_at","parent_mlalgorithm_id"
"1","""this is important so please read carefully thank you\r""","{'paragraph': 'this is important so please read carefully thank you\r', 'summary': '""This is a very important article. Please read it carefully. Thank you""', 'label': 'data', 'status': 'OK'}","data","","2022-08-23 11:45:04.342905","1"
"2","""this is a binding legal agreement between the natural person or legal person customer or you agreeing to these terms of service terms and prezi inc prezi us or we by accepting these terms signing an order or using the services subject to these terms of service collectively the services or prezi services you represent that you have civil and legal capacity that you are of legal age and have the authority to bind the customer to the order these terms and the following additional terms and conditions and policies which are hereby incorporated by reference collectively the agreement\r""","{'paragraph': 'this is a binding legal agreement between the natural person or legal person customer or you agreeing to these terms of service terms and prezi inc prezi us or we by accepting these terms signing an order or using the services subject to these terms of service collectively the services or prezi services you represent that you have civil and legal capacity that you are of legal age and have the authority to bind the customer to the order these terms and the following additional terms and conditions and policies which are hereby incorporated by reference collectively the agreement\r', 'summary': 'This is a binding legal agreement between the natural person or legal person customer or you agreeing', 'label': 'data', 'status': 'OK'}","data","","2022-08-23 11:45:05.689899","1"
"3","""highrisk use except as otherwise set forth in a prezi service description you understand that the prezi services are not designed or intended for use during highrisk activities\r""","{'paragraph': 'highrisk use except as otherwise set forth in a prezi service description you understand that the prezi services are not designed or intended for use during highrisk activities\r', 'summary': 'You understand that the prezi services are not designed or intended for use during highrisk', 'label': 'data', 'status': 'OK'}","data","","2022-08-23 11:45:08.382948","1"
"4","""recording certain services may provide functionality that allows you to record audio and data shared during presentations webinars or sessions you are solely responsible for complying with all applicable laws in the relevant jurisdictions while using any recording functionality\r""","{'paragraph': 'recording certain services may provide functionality that allows you to record audio and data shared during presentations webinars or sessions you are solely responsible for complying with all applicable laws in the relevant jurisdictions while using any recording functionality\r', 'summary': 'You are solely responsible for complying with all applicable laws in the relevant jurisdictions while using any', 'label': 'data', 'status': 'OK'}","data","","2022-08-23 11:45:10.849489","1"
"5","""assignment you may not assign your rights or delegate your duties under these terms of service either in whole or in part without prezis prior written consent any attempted assignment by you without prezis consent will be void prezi may assign these terms of service or delegate its duties hereunder without restriction and without the requirement of prior notice to you""","{'paragraph': 'assignment you may not assign your rights or delegate your duties under these terms of service either in whole or in part without prezis prior written consent any attempted assignment by you without prezis consent will be void prezi may assign these terms of service or delegate its duties hereunder without restriction and without the requirement of prior notice to you', 'summary': 'Prezi may assign these terms of service or delegate its duties hereunder without restriction and', 'label': 'data', 'status': 'OK'}","data","","2022-08-23 11:45:13.654462","1"
"6","{""paragraph"": ""improve products""}","{'summary': 'sharing information with other providers ', 'status': 'OK'}","sharing information with other providers ","","2022-08-23 22:50:17.101472","2"
"7","{""paragraph"": ""improve products""}","{'proba': 'true', 'label': array([0.27013266, 0.72986734]), 'status': 'OK'}","[0.27013266 0.72986734]","","2022-08-23 22:50:18.823303","1"
"8","{""paragraph"": ""improve products""}","{'proba': 'true', 'label': array([0.27013266, 0.72986734]), 'status': 'OK'}","[0.27013266 0.72986734]","","2022-08-23 22:51:28.028027","1"
"9","{""paragraph"": ""we may share your personal information with third parties vendors consultants and other service providers who are working on our behalf and need access to your information to carry out their work for us""}","{'summary': [{'summary_text': 'We may share your personal information with third parties vendors consultants and other service providers. We'}], 'status': 'OK'}","[{'summary_text': 'We may share your personal information with third parties vendors consultants and other service providers. We'}]","","2022-08-24 09:37:04.791651","1"
"10","""highrisk use except as otherwise set forth in a prezi service description you understand that the prezi services are not designed or intended for use during highrisk activities\r""","{'paragraph': 'highrisk use except as otherwise set forth in a prezi service description you understand that the prezi services are not designed or intended for use during highrisk activities\r', 'summary': 'You understand that the prezi services are not designed or intended for use during highrisk', 'label': 'data', 'status': 'OK'}","data","","2022-08-24 09:47:08.014870","1"
